Country,Crop,Slope,Intercept,R2_Score
Afghanistan,Maize (corn),9.950932126696834,-18091.798262443444,-0.03133256466136891
Afghanistan,Millet,15.493330316742082,-29784.665773755656,-1.1224009825180472
Afghanistan,Other pulses n.e.c.,1.6962171945701368,-2412.410877828056,-0.038464230085960116
Afghanistan,Rice,26.24881447963801,-49945.57692911011,-6.935270925048889
Afghanistan,Wheat,10.793782805429863,-20239.329122171945,-29.292137366576235
China,Maize (corn),92.89338461538463,-180872.04419909505,-2.04689107273769
China,Millet,21.167782805429866,-40442.68723981901,-3.6413305362973203
China,Other pulses n.e.c.,29.370153846153826,-56680.98492307689,-3.8863367803993505
China,Rice,91.81161990950228,-177469.61831674213,-36.589581740480504
China,Wheat,87.87247963800905,-171797.05632579184,0.9200144193322498
India,Maize (corn),27.67142081447964,-53518.47703167421,-3.345261332666496
India,Millet,12.66884162895928,-24512.884180995483,-6.2886944749821545
India,Other pulses n.e.c.,-3.322173913043478,6953.829710144926,-1.576371230433733
India,Rice,42.64091402714932,-82371.90819909502,-0.160945334060268
India,Wheat,46.45461538461539,-90346.82497737557,0.4554669906438372
Indonesia,Maize (corn),66.86820814479638,-130748.97706184011,-8.0609070267802
Indonesia,Other pulses n.e.c.,-0.9664705882352941,2470.7831372549017,-114.39579403186055
Indonesia,Rice,70.00384615384615,-135471.79336349925,-61.891829305409594
Philippines,Maize (corn),38.91812669683259,-75960.56040422324,-9.452132739712631
Philippines,Other pulses n.e.c.,-14.863333333333332,30646.854285714282,-112.39981767194864
Philippines,Rice,53.75260633484163,-104293.48598491705,-2.6108211361960114
