Country,Crop,Slope1,Slope2,Intercept,R2_Score
Afghanistan,Maize (corn),-586.2059642513159,0.15008985306610612,573859.4803722021,-0.050966703218475296
Afghanistan,Millet,-4994.819707280572,1.2614081162137154,4945182.875464994,-3.0459391107805605
Afghanistan,Other pulses n.e.c.,415.6922856109877,-0.10422861742608802,-413487.9239482177,-0.2163503503149622
Afghanistan,Rice,-2954.444453640036,0.7504263011378498,2909720.245948614,-1.217425699697233
Afghanistan,Wheat,-1222.431463930564,0.31047966936966986,1204286.0702913075,-8.5182909515758
China,Maize (corn),3382.38576448554,-0.8281702869771834,-3447158.5405114535,-0.38065068073401664
China,Millet,2273.723774823151,-0.5671087593204902,-2277107.9137456533,-13.068623538749033
China,Other pulses n.e.c.,-4745.133466147303,1.19094627587765,4728498.277487304,-105.82405910017086
China,Rice,4645.017208376194,-1.146325676854758,-4698554.397100442,0.21128293473834536
China,Wheat,538.9573282479089,-0.11356617538024238,-619699.7049903368,0.864888561254725
India,Maize (corn),-2507.925618986099,0.6383678347938258,2464191.070458934,0.7560617953726135
India,Millet,-930.9791083675437,0.23757501258739921,912478.0555788294,0.2968161730324347
India,Other pulses n.e.c.,863.8161736046146,-0.2198069321971161,-848250.8331136787,-6.622563958349869
India,Rice,-823.5906253270505,0.2180844761719527,777748.7587423307,0.8099381496104284
India,Wheat,983.6182210641623,-0.23594249891232266,-1020899.1645422041,0.3594618796639668
Indonesia,Maize (corn),-5716.867183898701,1.4561267351573406,5612184.773109954,0.5403152019823798
Indonesia,Other pulses n.e.c.,-177.54491867340406,0.044455802639816966,177803.5499950726,-37.2846073879771
Indonesia,Rice,4418.117616025526,-1.0946912814379175,-4452911.58373537,-12.868718394275353
Philippines,Maize (corn),-3632.000498775341,0.9241990497166626,3569061.3915598127,-3.0700180721609014
Philippines,Other pulses n.e.c.,-3672.89098822204,0.9154223360583273,3684923.1084408853,-58.05833854682705
Philippines,Rice,424.3413682990052,-0.09330029253891325,-472267.9115515509,-0.5167197014989116
